,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,MSEX,Middlesex Water Company,918.71M,-0.19%,146112,166.27M
84,UTL,Unitil Corporation,839.85M,-1.04%,21146,557.10M
85,OPAL,OPAL Fuels Inc.,827.40M,-1.04%,34669,235.82M
86,EDN,Empresa Distribuidora y Comercializadora Norte SA,815.05M,2.47%,63538,1.17B
87,ARIS,"Aris Water Solutions, Inc.",743.82M,0.39%,455798,392.12M
88,MNTK,"Montauk Renewables, Inc.",683.83M,-4.81%,526975,177.74M
89,YORW,The York Water Company,515.74M,-1.22%,61365,71.03M
90,GNE,Genie Energy Ltd.,470.17M,-7.29%,237328,405.18M
91,CWCO,Consolidated Water Co. Ltd.,456.21M,-2.17%,100036,155.39M
92,SMR,NuScale Power Corporation,420.73M,14.42%,4214394,21.69M
93,ARTNA,Artesian Resources Corporation,376.85M,-1.81%,37538,99.43M
94,GWRS,"Global Water Resources, Inc.",314.76M,0.57%,35267,53.03M
95,NRGV,"Energy Vault Holdings, Inc.",281.35M,-7.65%,976471,323.63M
96,PCYO,Pure Cycle Corporation,240.81M,-1.30%,49066,18.63M
97,ELLO,Ellomay Capital Ltd.,214.00M,0.24%,1555,52.91M
98,RGCO,"RGC Resources, Inc.",213.43M,1.58%,13341,88.58M
99,CDZI,Cadiz Inc.,191.08M,-1.88%,241384,1.88M
100,VIA,"Via Renewables, Inc.",78.76M,0.09%,16587,435.19M
101,VGAS,"Verde Clean Fuels, Inc.",41.87M,-4.59%,46404,-
102,ALCE,Alternus Energy Group Plc,31.10M,11.13%,18476483,44.51M
103,HTOO,Fusion Fuel Green PLC,27.71M,0.61%,118615,-
104,ADN,"Advent Technologies Holdings, Inc.",15.54M,-3.94%,452091,5.31M
105,CREG,Smart Powerr Corp.,11.47M,-9.72%,43182,-
106,WAVE,Eco Wave Power Global AB (publ),7.55M,0.74%,1714,27.00K
107,BNRG,Brenmiller Energy Ltd,6.18M,7.41%,12139,580.00K
