,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
841,SWSS,Clean Energy Special Situations Corp,76.92M,-0.09%,115,-
842,MGYR,"Magyar Bancorp, Inc.",76.85M,1.11%,23850,30.24M
843,CULL,"Cullman Bancorp, Inc.",76.19M,1.35%,1213,17.00M
844,INAQ,Insight Acquisition Corp.,75.40M,-,202,-
845,SIEB,Siebert Financial Corp.,75.20M,4.37%,56010,65.55M
846,FEXD,Fintech Ecosystem Development Corp.,75.12M,0.37%,100,-
847,SSBI,Summit State Bank,74.96M,-1.80%,2355,52.46M
848,GDST,Goldenstone Acquisition Limited,74.94M,-0.09%,561,-
849,ATMC,AlphaTime Acquisition Corp,74.92M,0.18%,278,-
850,FRLA,Fortune Rise Acquisition Corporation,74.91M,-,14,-
851,TETE,Technology & Telecommunication Acquisition Corporation,74.57M,0.09%,103,-
852,TRON,Corner Growth Acquisition Corp. 2,74.52M,-,6,-
853,CBRG,Chain Bridge I,74.46M,-,201,-
854,TBNK,Territorial Bancorp Inc.,74.23M,-1.90%,14912,49.65M
855,DHCA,DHC Acquisition Corp.,73.35M,49.87%,177868,-
856,FORL,Four Leaf Acquisition Corporation,72.81M,-0.23%,1608,-
857,AUBN,"Auburn National Bancorporation, Inc.",71.55M,-2.75%,9151,33.28M
858,MSSA,Metal Sky Star Acquisition Corporation,71.25M,-,153,-
859,PBHC,"Pathfinder Bancorp, Inc.",71.06M,2.20%,1543,42.12M
860,FHLT,Future Health ESG Corp.,71.06M,-,2,-
861,UBCP,"United Bancorp, Inc.",70.91M,1.18%,1490,30.25M
862,GMFI,Aetherium Acquisition Corp.,70.40M,-,159,-
863,SEPA,SEP Acquisition Corp.,68.80M,-,1,-
864,DIST,Distoken Acquisition Corporation,68.48M,1.21%,2483,-
865,NVAC,NorthView Acquisition Corporation,67.81M,-,55,-
866,MAQC,Maquia Capital Acquisition Corporation,67.66M,-0.08%,103,-
867,ROCL,Roth Ch Acquisition V Co.,67.15M,4.73%,2088,-
868,IOR,"Income Opportunity Realty Investors, Inc.",67.11M,-,5,-
869,CLOE,Clover Leaf Capital Corp.,66.94M,0.49%,804,-
870,PTWO,"Pono Capital Two, Inc.",66.15M,-,20,-
871,KYCH,Keyarch Acquisition Corporation,65.67M,-0.18%,2323,-
872,LSBK,"Lake Shore Bancorp, Inc.",64.81M,-0.79%,758,28.43M
873,AFAR,Aura FAT Projects Acquisition Corp,64.18M,-,28,-
874,ENCP,Energem Corp.,63.64M,2.00%,98322,-
875,NBST,Newbury Street Acquisition Corporation,63.32M,-0.92%,3702,-
876,MBTC,Nocturne Acquisition Corporation,62.30M,5.90%,2236,-
877,TCBC,"TC Bancshares, Inc.",61.73M,-,693,15.55M
878,IGTA,Inception Growth Acquisition Limited,60.82M,0.31%,372,-
879,GRYP,Gryphon Digital Mining Inc.,60.81M,13.38%,886414,2.17M
880,LRFC,Logan Ridge Finance Corporation,60.80M,-0.66%,1318,20.30M
881,ACAC,Acri Capital Acquisition Corporation,60.61M,0.45%,27731,-
882,VBFC,Village Bank and Trust Financial Corp.,60.54M,2.79%,48,25.69M
883,BNIX,Bannix Acquisition Corp.,59.83M,-,97,-
