,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,PAGP,"Plains GP Holdings, L.P.",4.06B,0.58%,1024152,48.71B
87,NXE,NexGen Energy Ltd.,3.97B,1.09%,6103974,-
88,HP,"Helmerich & Payne, Inc.",3.91B,-1.26%,674305,2.83B
89,NOG,"Northern Oil and Gas, Inc.",3.71B,0.57%,978487,2.17B
90,STNG,Scorpio Tankers Inc.,3.68B,1.10%,689711,1.34B
91,VIST,"Vista Energy, SAB de CV",3.66B,5.12%,795131,1.17B
92,ERF,Enerplus Corporation,3.64B,0.78%,1720485,1.69B
93,EURN,Euronav NV,3.60B,-,405219,1.63B
94,CRC,California Resources Corporation,3.59B,0.27%,1312559,2.80B
95,LBRT,Liberty Energy Inc.,3.55B,0.19%,2644228,4.75B
96,BTU,Peabody Energy Corporation,3.49B,-3.18%,3425043,4.95B
97,CVI,"CVR Energy, Inc.",3.35B,-1.06%,621412,9.25B
98,SDRL,Seadrill Limited,3.35B,0.72%,547535,1.50B
99,BSM,"Black Stone Minerals, L.P.",3.28B,-2.50%,606804,592.22M
100,CNX,CNX Resources Corporation,3.25B,0.14%,4699640,3.43B
101,TRMD,TORM plc,3.07B,-0.18%,718966,1.52B
102,WHD,"Cactus, Inc.",3.04B,0.39%,370359,1.10B
103,ARCH,"Arch Resources, Inc.",3.04B,-4.44%,763339,3.15B
104,NS,NuStar Energy L.P.,3.03B,0.63%,478747,1.63B
105,AROC,"Archrock, Inc.",2.87B,1.94%,1062953,990.34M
106,USAC,"USA Compression Partners, LP",2.76B,-0.44%,252787,846.18M
107,CEIX,CONSOL Energy Inc.,2.73B,-4.55%,608415,2.57B
108,GPOR,Gulfport Energy Corporation,2.64B,-0.14%,166745,1.05B
109,UEC,Uranium Energy Corp.,2.63B,3.23%,7119826,59.39M
110,BTE,Baytex Energy Corp.,2.62B,0.32%,4277098,2.04B
111,KOS,Kosmos Energy Ltd.,2.61B,-1.62%,4681785,1.70B
112,INSW,"International Seaways, Inc.",2.55B,0.44%,457713,1.07B
113,ARLP,"Alliance Resource Partners, L.P.",2.52B,-1.61%,330590,2.57B
114,GLNG,Golar LNG Limited,2.47B,8.75%,3824678,267.74M
115,CRK,"Comstock Resources, Inc.",2.34B,-0.36%,2870640,1.57B
116,TALO,Talos Energy Inc.,2.33B,0.94%,1019960,1.46B
117,TGS,Transportadora de Gas del Sur S.A.,2.24B,3.56%,197988,932.68M
118,CPE,Callon Petroleum Company,2.16B,0.80%,967731,2.34B
119,PARR,"Par Pacific Holdings, Inc.",2.14B,0.47%,631779,8.23B
120,AESI,Atlas Energy Solutions Inc.,2.10B,0.72%,955534,613.96M
121,CRGY,Crescent Energy Company,2.08B,0.28%,961859,2.38B
122,OII,"Oceaneering International, Inc.",2.07B,-0.34%,337301,2.42B
123,KNTK,Kinetik Holdings Inc.,2.05B,1.50%,281852,1.26B
124,XPRO,Expro Group Holdings N.V.,2.01B,0.22%,626236,1.51B
125,HPK,"HighPeak Energy, Inc.",1.96B,-1.76%,287505,1.11B
126,VET,Vermilion Energy Inc.,1.85B,-1.75%,1209975,1.51B
127,TNK,Teekay Tankers Ltd.,1.83B,-0.32%,218976,1.36B
128,KGS,"Kodiak Gas Services, Inc.",1.82B,-,272540,850.38M
129,VTLE,"Vital Energy, Inc.",1.81B,-1.10%,459146,1.55B
130,DHT,"DHT Holdings, Inc.",1.75B,-0.37%,1299689,560.56M
131,MNR,Mach Natural Resources LP,1.73B,2.11%,110443,817.06M
132,DKL,"Delek Logistics Partners, LP",1.71B,-0.71%,84982,1.02B
133,BORR,Borr Drilling Limited,1.71B,-4.18%,2493812,771.60M
134,DK,"Delek US Holdings, Inc.",1.70B,-2.67%,873923,16.92B
135,DNN,Denison Mines Corp.,1.65B,-,7295489,1.39M
136,RES,"RPC, Inc.",1.64B,-0.53%,1040828,1.62B
137,KRP,"Kimbell Royalty Partners, LP",1.63B,0.07%,290699,294.07M
138,GLP,Global Partners LP,1.57B,-0.77%,37084,16.49B
139,DNOW,NOW Inc.,1.54B,0.07%,618354,2.32B
140,LPG,Dorian LPG Ltd.,1.53B,-0.40%,647779,552.96M
141,HLX,"Helix Energy Solutions Group, Inc.",1.44B,0.74%,1272006,1.29B
142,WKC,World Kinect Corporation,1.43B,-1.47%,336128,47.71B
143,FLNG,FLEX LNG Ltd.,1.37B,0.12%,267919,371.02M
144,GEL,"Genesis Energy, L.P.",1.36B,-1.68%,416068,3.18B
145,NEXT,NextDecade Corporation,1.31B,-0.39%,1246251,-
146,DO,"Diamond Offshore Drilling, Inc.",1.29B,-1.19%,829108,1.06B
