,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,PAG,"Penske Automotive Group, Inc.",10.20B,0.94%,99477,29.53B
86,TXRH,"Texas Roadhouse, Inc.",9.91B,2.06%,731729,4.63B
87,ALV,"Autoliv, Inc.",9.81B,1.10%,532281,10.48B
88,WING,Wingstop Inc.,9.80B,4.59%,630689,460.06M
89,XPEV,XPeng Inc.,9.78B,2.69%,10833517,3.13B
90,CCK,"Crown Holdings, Inc.",9.45B,-0.31%,771956,12.01B
91,TPX,"Tempur Sealy International, Inc.",9.44B,1.20%,973570,4.93B
92,CZR,"Caesars Entertainment, Inc.",9.25B,-0.91%,2503390,11.53B
93,SKX,"Skechers U.S.A., Inc.",9.24B,1.64%,1221254,8.00B
94,VIPS,Vipshop Holdings Limited,9.20B,4.39%,5964769,15.92B
95,LNW,"Light & Wonder, Inc.",9.01B,1.53%,713711,2.90B
96,BIRK,Birkenstock Holding plc,8.99B,-0.84%,285974,1.69B
97,ETSY,"Etsy, Inc.",8.66B,-2.06%,2638554,2.75B
98,MTN,"Vail Resorts, Inc.",8.53B,0.72%,879528,2.84B
99,NCLH,Norwegian Cruise Line Holdings Ltd.,8.51B,-1.21%,13298368,8.55B
100,MUSA,Murphy USA Inc.,8.44B,0.53%,166561,21.53B
101,GNTX,Gentex Corporation,8.41B,0.17%,1043230,2.30B
102,GPK,Graphic Packaging Holding Company,8.38B,1.64%,2321884,9.43B
103,CHDN,Churchill Downs Incorporated,8.33B,0.88%,402452,2.46B
104,AS,"Amer Sports, Inc.",8.13B,-,461434,4.37B
105,LEA,Lear Corporation,8.05B,0.15%,388450,23.47B
106,GPS,"The Gap, Inc.",8.02B,4.94%,14176473,14.83B
107,LAD,"Lithia Motors, Inc.",7.88B,0.99%,246778,31.04B
108,CHWY,"Chewy, Inc.",7.87B,-1.48%,7977295,11.01B
109,PVH,PVH Corp.,7.79B,1.39%,672722,9.22B
110,SN,"SharkNinja, Inc.",7.79B,2.52%,1746363,4.25B
111,MHK,"Mohawk Industries, Inc.",7.67B,-0.57%,459268,11.14B
112,CROX,"Crocs, Inc.",7.67B,-0.88%,1215231,3.96B
113,BWA,BorgWarner Inc.,7.37B,1.28%,2487764,14.20B
114,W,Wayfair Inc.,7.28B,5.42%,2931595,12.00B
115,LEVI,Levi Strauss & Co.,7.27B,1.53%,1873675,6.18B
116,HAS,"Hasbro, Inc.",7.25B,0.99%,1214276,5.00B
117,LCID,"Lucid Group, Inc.",7.19B,-2.34%,24093654,595.27M
118,CAVA,"CAVA Group, Inc.",7.16B,4.87%,2450292,728.70M
119,MAT,"Mattel, Inc.",7.11B,0.75%,2635500,5.44B
120,BERY,"Berry Global Group, Inc.",7.03B,-0.30%,552851,12.46B
121,BFAM,Bright Horizons Family Solutions Inc.,6.75B,0.79%,277685,2.42B
122,BROS,Dutch Bros Inc.,6.74B,5.91%,3687535,965.78M
123,HRB,"H&R Block, Inc.",6.72B,0.02%,773001,3.49B
124,ALSN,"Allison Transmission Holdings, Inc.",6.67B,1.15%,333332,3.04B
125,MMYT,MakeMyTrip Limited,6.63B,3.85%,705168,728.16M
126,DDS,"Dillard's, Inc.",6.61B,4.10%,103579,6.87B
127,CART,Maplebear Inc.,6.47B,2.93%,2692260,3.04B
128,CHH,"Choice Hotels International, Inc.",6.33B,-0.74%,843353,1.54B
129,WH,"Wyndham Hotels & Resorts, Inc.",6.31B,2.31%,1285466,1.40B
130,VFC,V.F. Corporation,6.22B,-2.62%,6032344,10.82B
131,TMHC,Taylor Morrison Home Corporation,6.19B,0.71%,450391,7.42B
132,AN,"AutoNation, Inc.",6.18B,0.83%,168254,26.95B
133,BC,Brunswick Corporation,6.15B,-0.85%,439454,6.40B
134,BYD,Boyd Gaming Corporation,6.09B,-0.11%,666467,3.74B
135,REYN,Reynolds Consumer Products Inc.,6.05B,0.59%,608114,3.76B
136,ANF,Abercrombie & Fitch Co.,5.96B,3.45%,1729098,4.28B
137,WHR,Whirlpool Corporation,5.95B,-0.81%,810183,19.46B
138,RRR,"Red Rock Resorts, Inc.",5.81B,1.36%,293105,1.72B
139,GIL,Gildan Activewear Inc.,5.76B,0.67%,380982,3.20B
140,MTH,Meritage Homes Corporation,5.71B,1.35%,292679,6.14B
141,PLNT,"Planet Fitness, Inc.",5.65B,0.62%,678888,1.07B
142,SON,Sonoco Products Company,5.65B,0.17%,261983,6.78B
143,M,"Macy's, Inc.",5.63B,1.51%,6908265,23.87B
144,THO,"Thor Industries, Inc.",5.60B,-0.79%,500269,10.38B
145,GLBE,Global-e Online Ltd.,5.50B,3.25%,1284021,569.95M
146,MNSO,MINISO Group Holding Limited,5.50B,1.67%,6534521,1.72B
