,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,LECO,"Lincoln Electric Holdings, Inc.",14.36B,-0.10%,164918,4.19B
87,XPO,"XPO Logistics, Inc.",14.16B,2.44%,815380,7.74B
88,SWK,"Stanley Black & Decker, Inc.",14.14B,-0.62%,1258734,15.78B
89,UAL,"United Airlines Holdings, Inc.",14.07B,-1.68%,12099234,53.72B
90,RBA,RB Global Inc,13.80B,0.34%,694199,3.68B
91,OC,Owens Corning,13.59B,2.25%,559722,9.68B
92,PNR,Pentair plc,13.43B,0.85%,1119265,4.10B
93,BLD,TopBuild Corp.,12.93B,1.52%,170161,5.19B
94,GFL,GFL Environmental Inc.,12.82B,0.20%,1089194,5.65B
95,TFII,TFI International Inc.,12.66B,1.45%,178051,7.52B
96,UHAL,U-Haul Holding Company,12.62B,1.25%,44439,5.72B
97,AOS,A. O. Smith Corporation,12.62B,0.73%,524806,3.85B
98,UHAL.B,U-Haul Holding Company,12.61B,1.46%,196009,5.72B
99,ACM,AECOM,12.46B,0.59%,447049,14.90B
100,WMS,"Advanced Drainage Systems, Inc.",12.45B,0.60%,346259,2.84B
101,ALLE,Allegion plc,11.52B,1.56%,634934,3.65B
102,HII,"Huntington Ingalls Industries, Inc.",11.42B,0.56%,135497,11.45B
103,RRX,Regal Rexnord Corporation,11.40B,2.26%,461751,6.25B
104,NVT,nVent Electric plc,11.28B,2.31%,806100,3.26B
105,FIX,"Comfort Systems USA, Inc.",10.59B,1.77%,482983,5.21B
106,ITT,ITT Inc.,10.43B,0.62%,162614,3.28B
107,FBIN,"Fortune Brands Innovations, Inc.",10.25B,0.64%,546306,4.63B
108,TREX,"Trex Company, Inc.",10.20B,2.06%,545734,1.09B
109,CLH,"Clean Harbors, Inc.",10.15B,0.39%,315215,5.41B
110,TTEK,"Tetra Tech, Inc.",9.78B,0.14%,120954,4.86B
111,AAL,American Airlines Group Inc.,9.61B,-4.71%,48411863,52.79B
112,STN,Stantec Inc.,9.55B,1.64%,79720,3.81B
113,CNM,"Core & Main, Inc.",9.51B,2.20%,2288113,6.64B
114,APG,APi Group Corporation,9.46B,0.26%,1007630,6.93B
115,ESLT,Elbit Systems Ltd.,9.46B,-2.30%,56362,5.86B
116,BWXT,"BWX Technologies, Inc.",9.27B,-0.56%,788297,2.50B
117,TTC,The Toro Company,9.26B,-0.55%,614278,4.41B
118,KNX,Knight-Swift Transportation Holdings Inc.,9.15B,0.12%,741457,7.14B
119,CW,Curtiss-Wright Corporation,9.08B,0.97%,105115,2.85B
120,WWD,"Woodward, Inc.",8.94B,-1.69%,296121,3.08B
121,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.84B,0.95%,31627,1.30B
122,CHRW,"C.H. Robinson Worldwide, Inc.",8.77B,0.91%,1358004,17.60B
123,WSC,WillScot Mobile Mini Holdings Corp.,8.75B,0.39%,1212387,2.36B
124,DCI,"Donaldson Company, Inc.",8.73B,0.39%,563438,3.48B
125,SSD,"Simpson Manufacturing Co., Inc.",8.72B,-1.75%,178637,2.21B
126,AGCO,AGCO Corporation,8.56B,-1.08%,509175,14.41B
127,PSN,Parsons Corporation,8.50B,0.98%,488237,5.44B
128,RHI,Robert Half International Inc.,8.42B,0.45%,843324,6.39B
129,ARMK,Aramark,8.34B,2.61%,1729002,18.66B
130,MIDD,The Middleby Corporation,8.27B,0.84%,187806,4.04B
131,KBR,"KBR, Inc.",8.26B,-0.31%,979475,6.96B
132,SITE,"SiteOne Landscape Supply, Inc.",8.11B,-1.40%,428348,4.30B
133,WCC,"WESCO International, Inc.",8.02B,2.88%,492590,22.39B
134,AYI,"Acuity Brands, Inc.",7.85B,1.52%,151868,3.89B
135,RBC,RBC Bearings Incorporated,7.78B,-0.55%,80442,1.54B
136,BZ,Kanzhun Limited,7.62B,18.80%,14463895,750.22M
137,OSK,Oshkosh Corporation,7.56B,-0.64%,348136,9.66B
138,IEP,Icahn Enterprises L.P.,7.28B,-2.41%,1250904,10.85B
139,MSA,MSA Safety Incorporated,7.28B,0.98%,98311,1.79B
140,FCN,"FTI Consulting, Inc.",7.25B,0.52%,183477,3.49B
141,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.15B,0.61%,52519,1.41B
142,AIT,"Applied Industrial Technologies, Inc.",7.06B,1.45%,226598,4.46B
143,GNRC,Generac Holdings Inc.,7.02B,-1.07%,631013,4.02B
144,MTZ,"MasTec, Inc.",7.02B,-0.44%,541869,12.00B
145,AZEK,The AZEK Company Inc.,7.00B,1.05%,1330540,1.39B
